participant,date,condition,t_1,t_2,t_3,t_4,t_5
103,2018-11-28,HAI,12:32:19,12:49:45,12:54:57,13:07:11,13:11:49
104,2018-11-26,Control,10:05:51,10:22:55,10:26:29,10:41:11,10:46:43
105,2018-11-28,HAI,13:35:30,13:55:00,13:58:50,14:11:10,14:15:52
106,2018-11-26,Control,12:02:26,12:21:24,12:24:56,12:37:26,12:42:04
107,2018-11-28,HAI,14:34:53,14:56:11,15:00:01,15:13:47,15:20:47
108,2018-11-27,Control,14:06:23,14:24:47,14:28:39,14:42:05,14:45:53
109,2018-11-28,HAI,15:37:27,15:55:37,15:59:33,16:12:27,16:17:37
110,2018-11-27,Control,15:09:27,15:29:13,15:32:45,15:46:05,15:52:13
111,2018-11-30,HAI,11:02:56,11:22:32,11:26:46,11:40:20,11:45:18
112,2018-11-27,Control,16:05:56,16:22:58,16:26:32,16:39:54,16:44:06
113,2018-11-30,HAI,13:00:18,13:19:22,13:23:26,13:35:38,13:41:16
114,2018-11-28,Control,16:35:41,16:54:37,16:59:13,17:11:20,17:16:11
115,2018-11-30,HAI,14:07:12,14:25:42,14:29:30,14:42:12,14:46:28
116,2018-11-29,Control,11:40:17,12:03:07,12:06:41,12:21:43,12:26:11
117,2018-12-03,HAI,09:03:40,09:21:10,09:25:40,09:38:28,09:42:32
118,2018-11-29,Control,12:38:33,12:56:53,13:00:27,13:13:29,13:17:47
119,2018-12-03,HAI,11:02:17,11:18:57,11:22:51,11:34:27,11:58:25
120,2018-11-29,Control,13:35:25,13:53:23,13:56:55,14:11:09,14:15:31
121,2018-12-03,HAI,12:10:51,12:34:03,12:38:27,12:52:03,12:57:05
122,2018-11-29,Control,14:36:16,14:57:22,15:00:56,15:14:14,15:18:40
123,2018-12-05,HAI,10:50:19,11:07:03,11:11:51,11:23:46,11:28:15
124,2018-11-30,Control,14:59:03,15:18:19,15:21:59,15:34:37,15:39:25
125,2018-12-05,HAI,11:54:57,12:16:17,12:19:53,12:33:07,12:39:05
126,2018-12-04,Control,10:06:43,10:26:55,10:30:49,10:44:57,10:49:29
127,NA,HAI,NA,15:19:33,15:22:41,15:35:57,15:43:17
128,2018-12-04,Control,11:06:01,11:28:00,11:31:40,11:44:04,11:48:46
129,2019-03-04,HAI,13:04:55,13:22:32,13:26:21,13:39:45,13:45:21
130,2018-12-04,Control,12:04:48,12:26:08,12:29:44,12:43:00,12:48:14
131,2019-03-04,HAI,14:05:23,14:24:28,14:28:22,14:41:05,14:46:41
132,2018-12-04,Control,14:05:20,NA,NA,14:43:30,14:49:14
133,2019-03-04,HAI,15:03:43,15:26:23,15:30:33,15:45:16,15:51:25
134,2018-12-06,Control,13:13:05,13:32:23,13:36:33,13:49:25,13:53:37
135,2019-03-04,HAI,16:04:03,16:26:32,16:30:17,16:44:23,16:51:52
136,2018-12-06,Control,14:03:27,14:21:00,14:25:53,14:37:55,14:41:37
137,2019-03-08,HAI,11:39:22,12:01:34,12:06:09,12:21:24,12:26:30
138,2018-12-06,Control,15:04:03,15:22:55,15:27:45,15:40:23,15:44:28
139,2019-03-08,HAI,14:03:49,14:23:08,14:27:06,14:39:49,14:44:57
140,2019-03-01,Control,12:07:16,12:26:51,12:30:44,12:49:52,12:53:14
141,2019-03-08,HAI,15:04:13,15:25:04,15:28:59,15:43:42,15:50:09
